,PTS,STL,+/-_x,PTS OFF TO,OPP PTS,OPP FG%,OPP FBPS,OPP PITP
Payton ON,109.9,12.0,11.5,23.8,98.4,0.4,8.0,35.8
Payton OFF,112.2,6.7,3.5,14.7,108.7,0.4,12.5,41.6
