,PTS,REB,OREB,DREB,REB DIFF,2ND PTS,OPP 2ND PTS,+/-_x,PTS OFF TO,OPP PTS,OPP FG%,OPP FBPS,OPP PITP
Looney ON,111.4,48.4,13.1,35.4,7.8,16.3,11.9,6.6,14.0,104.8,0.4,13.4,41.6
Looney OFF,112.0,40.5,7.4,33.1,-1.9,13.4,13.9,3.9,18.3,108.1,0.4,10.3,39.7
